雪鹑属	雪鹑
山鹧鸪属	环颈山鹧鸪
小盔犀鸟属	白喉犀鸟
皱盔犀鸟属	棕颈犀鸟
无盔犀鸟属	花冠皱盔犀鸟
戴胜属	戴胜
咬鹃属	橙胸咬鹃
咬鹃属	红头咬鹃
咬鹃属	红腹咬鹃
佛法僧属	蓝胸佛法僧
佛法僧属	棕胸佛法僧
三宝鸟属	三宝鸟
山鹧鸪属	红喉山鹧鸪
翠鸟属	斑头大翠鸟
翠鸟属	普通翠鸟
三趾翠鸟属	三趾翠鸟
翡翠属	鹳嘴翡翠
翡翠属	赤翡翠
翡翠属	白胸翡翠
翡翠属	蓝翡翠
翡翠属	白领翡翠
鱼狗属	冠鱼狗
山鹧鸪属	白颊山鹧鸪
鱼狗属	斑鱼狗
夜蜂虎属	[蓝须]夜蜂虎
蜂虎属	绿喉蜂虎
蜂虎属	蓝喉蜂虎
蜂虎属	黄喉蜂虎
蜂虎属	栗头蜂虎
凤头鹃属	斑翅凤头鹃
凤头鹃属	红翅凤头鹃
鹰鹃属	鹰鹃
山鹧鸪属	台湾山鹧鸪
鹰鹃属	普通鹰鹃
鹰鹃属	棕腹杜鹃
杜鹃属	四声杜鹃
杜鹃属	小杜鹃
杜鹃属	栗斑杜鹃
金鹃属	翠金鹃
金鹃属	紫金鹃
雪鸡属	藏雪鸡
山鹧鸪属	红胸山鹧鸪
乌鹃属	乌鹃
噪鹃属	噪鹃
地鹃属	绿嘴地鹃
鸦鹃属	褐翅鸦鹃
鸦鹃属	小鸦鹃
彩虹鹦鹉属	彩虹鹦鹉
凤头鹦鹉属	小葵花凤头鹦鹉
短尾鹦鹉属	短尾鹦鹉
鹦鹉属	红领绿鹦鹉
鹦鹉属	灰头鹦鹉
山鹧鸪属	褐胸山鹧鸪
鹦鹉属	花头鹦鹉
鹦鹉属	大紫胸鹦鹉
鹦鹉属	绯胸鹦鹉
鹦鹉属	长尾鹦鹉
金丝燕属	短嘴金丝燕
金丝燕属	戈氏金丝燕
针尾雨燕属	白喉针尾雨燕
针尾雨燕属	灰喉针尾雨燕
高山雨燕属	高山雨燕
山鹧鸪属	四川山鹧鸪
雨燕属	普通楼燕
雨燕属	白腰雨燕
